player_name,team,opponent,position,jersey_number,round,season
Gabriel Satrick,Storm,,Reserve,22,21,2026
Kaeo Weekes,Raiders,,Fullback,1,21,2026
Jahream Bula,Wests Tigers,,Fullback,1,21,2026
Jed Stuart,Raiders,,Winger,2,21,2026
Junior Tupou,Wests Tigers,,Winger,2,21,2026
Simi Sasagi,Raiders,,Centre,3,21,2026
Sunia Turuva,Wests Tigers,,Centre,3,21,2026
Matthew Timoko,Raiders,,Centre,4,21,2026
Patrick Herbert,Wests Tigers,,Centre,4,21,2026
Xavier Savage,Raiders,,Winger,5,21,2026
Faaletino Tavana,Wests Tigers,,Winger,5,21,2026
Ethan Strange,Raiders,,Five-Eighth,6,21,2026
Jarome Luai,Wests Tigers,,Five-Eighth,6,21,2026
Ethan Sanders,Raiders,,Halfback,7,21,2026
Javon Andrews,Wests Tigers,,Halfback,7,21,2026
Corey Horsburgh,Raiders,,Prop,8,21,2026
Terrell May,Wests Tigers,,Prop,8,21,2026
Tom Starling,Raiders,,Hooker,9,21,2026
Apisai Koroisau,Wests Tigers,,Hooker,9,21,2026
Joseph Tapine,Raiders,,Prop,10,21,2026
Fonua Pole,Wests Tigers,,Prop,10,21,2026
Zac Hosking,Raiders,,2nd Row,11,21,2026
Samuela Fainu,Wests Tigers,,2nd Row,11,21,2026
Noah Martin,Raiders,,2nd Row,12,21,2026
Ethan Roberts,Wests Tigers,,2nd Row,12,21,2026
Morgan Smithies,Raiders,,Lock,13,21,2026
Alex Twal,Wests Tigers,,Lock,13,21,2026
Jayden Brailey,Raiders,,Interchange,14,21,2026
Jared Haywood,Wests Tigers,,Interchange,14,21,2026
Ata Mariota,Raiders,,Interchange,15,21,2026
Sione Fainu,Wests Tigers,,Interchange,15,21,2026
Josh Papalii,Raiders,,Interchange,16,21,2026
Alex Seyfarth,Wests Tigers,,Interchange,16,21,2026
Daine Laurie,Raiders,,Interchange,17,21,2026
Bunty Afoa,Wests Tigers,,Interchange,17,21,2026
Matty Nicholson,Raiders,,Interchange,18,21,2026
Starford To'a,Wests Tigers,,Interchange,18,21,2026
Sebastian Kris,Raiders,,Interchange,19,21,2026
Jock Madden,Wests Tigers,,Interchange,19,21,2026
Coby Black,Raiders,,Reserve,20,21,2026
Heamasi Makasini,Wests Tigers,,Reserve,20,21,2026
Vena Patuki-Case,Raiders,,Reserve,21,21,2026
Latu Fainu,Wests Tigers,,Reserve,21,21,2026
Sione Finau,Raiders,,Reserve,22,21,2026
Adam Doueihi,Wests Tigers,,Reserve,22,21,2026
Connor Tracey,Bulldogs,,Fullback,1,21,2026
Taine Tuaupiki,Warriors,,Fullback,1,21,2026
Jacob Kiraz,Bulldogs,,Winger,2,21,2026
Dallin Watene-Zelezniak,Warriors,,Winger,2,21,2026
Matt Burton,Bulldogs,,Centre,3,21,2026
Ali Leiataua,Warriors,,Centre,3,21,2026
Enari Tuala,Bulldogs,,Centre,4,21,2026
Adam Pompey,Warriors,,Centre,4,21,2026
Jethro Rinakama,Bulldogs,,Winger,5,21,2026
Alofiana Khan-Pereira,Warriors,,Winger,5,21,2026
Stephen Crichton,Bulldogs,,Five-Eighth,6,21,2026
Chanel Harris-Tavita,Warriors,,Five-Eighth,6,21,2026
Lachlan Galvin,Bulldogs,,Halfback,7,21,2026
Te Maire Martin,Warriors,,Halfback,7,21,2026
Max King,Bulldogs,,Prop,8,21,2026
James Fisher-Harris,Warriors,,Prop,8,21,2026
Bailey Hayward,Bulldogs,,Hooker,9,21,2026
Wayde Egan,Warriors,,Hooker,9,21,2026
Leo Thompson,Bulldogs,,Prop,10,21,2026
Mitchell Barnett,Warriors,,Prop,10,21,2026
Viliame Kikau,Bulldogs,,2nd Row,11,21,2026
Kurt Capewell,Warriors,,2nd Row,11,21,2026
Jacob Preston,Bulldogs,,2nd Row,12,21,2026
Jacob Laban,Warriors,,2nd Row,12,21,2026
Jaeman Salmon,Bulldogs,,Lock,13,21,2026
Erin Clark,Warriors,,Lock,13,21,2026
Sean O'Sullivan,Bulldogs,,Interchange,14,21,2026
Sam Healey,Warriors,,Interchange,14,21,2026
Josh Curran,Bulldogs,,Interchange,15,21,2026
Tanner Stowers-Smith,Warriors,,Interchange,15,21,2026
Harry Hayes,Bulldogs,,Interchange,16,21,2026
Demitric Vaimauga,Warriors,,Interchange,16,21,2026
Lipoi Hopoi,Bulldogs,,Interchange,17,21,2026
Leka Halasima,Warriors,,Interchange,17,21,2026
Jed Reardon,Bulldogs,,Interchange,19,21,2026
Eddie Ieremia-Toeava,Warriors,,Interchange,18,21,2026
Gordon Chan Kum Tong,Bulldogs,,Interchange,20,21,2026
Marata Niukore,Warriors,,Interchange,20,21,2026
Alekolasimi Jones,Bulldogs,,Reserve,21,21,2026
Charnze Nicoll-Klokstad,Warriors,,Reserve,21,21,2026
Jack Underhill,Bulldogs,,Reserve,22,21,2026
Luke Metcalf,Warriors,,Reserve,22,21,2026
Bronson Xerri,Bulldogs,,Reserve,23,21,2026
Rocco Berry,Warriors,,Reserve,23,21,2026
Scott Drinkwater,Cowboys,,Fullback,1,21,2026
Reece Walsh,Broncos,,Fullback,1,21,2026
Braidon Burns,Cowboys,,Winger,2,21,2026
Josiah Karapani,Broncos,,Winger,2,21,2026
Jaxon Purdue,Cowboys,,Centre,3,21,2026
Kotoni Staggs,Broncos,,Centre,3,21,2026
Tom Chester,Cowboys,,Centre,4,21,2026
Gehamat Shibasaki,Broncos,,Centre,4,21,2026
Murray Taulagi,Cowboys,,Winger,5,21,2026
Deine Mariner,Broncos,,Winger,5,21,2026
Jake Clifford,Cowboys,,Five-Eighth,6,21,2026
Ezra Mam,Broncos,,Five-Eighth,6,21,2026
Tom Dearden,Cowboys,,Halfback,7,21,2026
Adam Reynolds,Broncos,,Halfback,7,21,2026
Thomas Mikaele,Cowboys,,Prop,8,21,2026
Preston Riki,Broncos,,Prop,8,21,2026
Reed Mahoney,Cowboys,,Hooker,9,21,2026
Cory Paix,Broncos,,Hooker,9,21,2026
Jason Taumalolo,Cowboys,,Prop,10,21,2026
Payne Haas,Broncos,,Prop,10,21,2026
Heilum Luki,Cowboys,,2nd Row,11,21,2026
Xavier Willison,Broncos,,2nd Row,11,21,2026
Jeremiah Nanai,Cowboys,,2nd Row,12,21,2026
Jordan Riki,Broncos,,2nd Row,12,21,2026
